panther:/ # cat /proc/28308/maps
6d3b8e0000-6d3b8e5000 r--p 00083000 fe:2c 113185                         /data/app/~~LzSS60h4_mJwhWyAn4xA2g==/com.tencent.token-_4XZlzn5NnLLZ9ZSk_cS3w==/lib/arm64/librmonitor_base.so
6d3b8e5000-6d3b8e6000 rw-p 00088000 fe:2c 113185                         /data/app/~~LzSS60h4_mJwhWyAn4xA2g==/com.tencent.token-_4XZlzn5NnLLZ9ZSk_cS3w==/lib/arm64/librmonitor_base.so
6d3b8e6000-6d3b8e7000 rw-p 00000000 00:00 0                              [anon:.bss]
6d3b905000-6d3b938000 r-xp 00000000 fe:2c 71020                          /data/app/~~LzSS60h4_mJwhWyAn4xA2g==/com.tencent.token-_4XZlzn5NnLLZ9ZSk_cS3w==/lib/arm64/libBugly_Native.so
6d3b938000-6d3b939000 ---p 00000000 00:00 0 
6d3b939000-6d3b93b000 r--p 00033000 fe:2c 71020                          /data/app/~~LzSS60h4_mJwhWyAn4xA2g==/com.tencent.token-_4XZlzn5NnLLZ9ZSk_cS3w==/lib/arm64/libBugly_Native.so
6d3b93b000-6d3b93c000 rw-p 00035000 fe:2c 71020                          /data/app/~~LzSS60h4_mJwhWyAn4xA2g==/com.tencent.token-_4XZlzn5NnLLZ9ZSk_cS3w==/lib/arm64/libBugly_Native.so
6d3b93c000-6d3b979000 rw-p 00000000 00:00 0                              [anon:.bss]
6d3b989000-6d3bbda000 ---p 00000000 00:00 0 
6d3bbda000-6d3bbdc000 rw-p 00000000 00:00 0 
6d3bbdc000-6d3c989000 ---p 00000000 00:00 0 
6d3c989000-6d3c98a000 ---p 00000000 00:00 0 
6d3c98a000-6d3c98b000 ---p 00000000 00:00 0                              [anon:stack_and_tls:28437]
6d3c98b000-6d3ca92000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:28437]
6d3ca92000-6d3ca93000 ---p 00000000 00:00 0 
6d3ca93000-6d3d908000 ---p 00000000 00:00 0 
6d3d908000-6d3d90a000 rw-p 00000000 00:00 0 
6d3d90a000-6d3da93000 ---p 00000000 00:00 0 
6d3da93000-6d3da94000 ---p 00000000 00:00 0 
6d3da94000-6d3da95000 ---p 00000000 00:00 0                              [anon:stack_and_tls:28436]
6d3da95000-6d3db9c000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:28436]
6d3db9c000-6d3db9d000 ---p 00000000 00:00 0 
6d3db9d000-6d3dd54000 ---p 00000000 00:00 0 
6d3dd54000-6d3dd56000 rw-p 00000000 00:00 0 
